
          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          2 EPELX   
   0.17500      0.148869E-001
   0.17600      0.149720E-001
   0.17700      0.150571E-001
   0.17800      0.151421E-001
   0.17900      0.152272E-001
   0.18000      0.153123E-001

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          2 EPELX   
                  EPELX_5 
   0.18100      0.153973E-001
   0.18200      0.154824E-001
   0.18300      0.155675E-001
   0.18400      0.156525E-001
   0.18500      0.157376E-001
   0.18600      0.158227E-001
   0.18700      0.159077E-001
   0.18800      0.159928E-001
   0.18900      0.160779E-001
   0.19000      0.161629E-001
   0.19100      0.162480E-001
   0.19200      0.163946E-001
   0.19300      0.165912E-001
   0.19400      0.167864E-001
   0.19445      0.165359E-001
   0.19490      0.174979E-001
   0.19558      0.241603E-001
   0.19658      0.260123E-001
   0.19758      0.264746E-001
   0.19858      0.267308E-001

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          2 EPELX   
                  EPELX_5 
   0.19958      0.271510E-001
   0.20058      0.277107E-001
   0.20158      0.282595E-001
   0.20258      0.287588E-001
   0.20358      0.292239E-001
   0.20458      0.296713E-001
   0.20558      0.301063E-001
   0.20658      0.305288E-001
   0.20758      0.309393E-001
   0.20858      0.313388E-001
   0.20958      0.317285E-001
   0.21058      0.321094E-001
   0.21158      0.326915E-001
   0.21258      0.333716E-001
   0.21358      0.340367E-001
   0.21458      0.346444E-001
   0.21558      0.379740E-001
   0.21658      0.411071E-001
   0.21758      0.436413E-001
   0.21858      0.447923E-001

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          2 EPELX   
                  EPELX_5 
   0.21958      0.452165E-001
   0.22058      0.456737E-001
   0.22158      0.463215E-001
   0.22178      0.457418E-001
    1.0000      0.146112     

