
          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        157 EPELX   
   0.17500      0.111607E-001
   0.17600      0.112244E-001
   0.17700      0.112976E-001
   0.17800      0.114053E-001
   0.17900      0.111145E-001
   0.18000      0.108237E-001

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        157 EPELX   
                  EPELX_7 
   0.18002      0.108237E-001
   0.18003      0.108237E-001
   0.18004      0.108237E-001
   0.18004      0.108237E-001
   0.18004      0.108237E-001
    1.0000      0.108237E-001

